number,name,url,result,notes
256,Federal Regulation Policy Overview | GSA,https://www.gsa.gov/policy-regulations/policy/federal-regulation-policy-overview,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.gsa.gov/policy-regulations/policy/federal-regulation-policy
257,Federal Management Regulation | GSA,https://www.gsa.gov/policy-regulations/regulations/federal-management-regulation,OK (200),env=external. tld=all
258,https://insite.gsa.gov/topics/hr-pay-and-leave/hr-pay-and-leave-policies-and-resources,https://insite.gsa.gov/topics/hr-pay-and-leave/hr-pay-and-leave-policies-and-resources,OK (200),env=external. tld=all. Domain 'insite.gsa.gov' is internal/restricted — results may fail or require authentication from outside VPN. Redirected (HEAD) → https://auth.gsa.gov/oauth2/v1/authorize?client_id=0oabren9fzQyIdP7A4h7&response_type=code&scope=openid%20email%20profile&redirect_uri=https%3A//insite.gsa.gov/openid-connect/okta&state=V7S-LaEvDUIb_YJHwXDBlAi3jj90dfCGyhAPLCdL58c&code_challenge_method=S256&code_challenge=zQjZtbNY5HmngZ2rprqQdxB9yYKKHeMGsL6yVv_uksQ
259,Identity Assurance and Trusted Access | GSA,https://www.gsa.gov/policy-regulations/policy/information-technology-policy/identity-assurance-and-trusted-access,OK (200),env=external. tld=all
260,https://www.gsa.gov/policy-regulations/policy/information-technology-policy/it-modernization,https://www.gsa.gov/policy-regulations/policy/information-technology-policy/it-modernization,OK (200),env=external. tld=all
261,Mail Management Policy Overview | GSA,https://www.gsa.gov/policy-regulations/policy/mail-management-policy-overview,OK (200),env=external. tld=all
262,Personal Property Policy Overview | GSA,https://www.gsa.gov/policy-regulations/policy/personal-property-policy-overview,OK (200),env=external. tld=all
263,https://www.reginfo.gov/public/jsp/Utilities/aboutUs.myjsp,https://www.reginfo.gov/public/jsp/Utilities/aboutUs.myjsp,OK (200),env=external. tld=all
264,https://www.gsa.gov/policy-regulations/policy/real-property-policy-division-overview,https://www.gsa.gov/policy-regulations/policy/real-property-policy-division-overview,OK (200),env=external. tld=all
265,Framework for Managing Climate Risks to Federal Agency Supply Chains \- GSA Sustainable Facilities Tool,https://sftool.gov/plan/553/framework-managing-climate-risks-federal-agency-supply-chains,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.gsa.gov/governmentwide-initiatives/federal-highperformance-buildings/highperformance-building-clearinghouse
266,https://www.gsa.gov/policy-regulations/policy/employee-relocation-management-policy,https://www.gsa.gov/policy-regulations/policy/employee-relocation-management-policy,OK (200),env=external. tld=all
267,Travel Management Policy Overview | GSA,https://www.gsa.gov/policy-regulations/policy/travel-management-policy-overview,OK (200),env=external. tld=all
268,https://www.gsa.gov/policy-regulations/policy/transportation-management-polic,https://www.gsa.gov/policy-regulations/policy/transportation-management-policy,OK (200),env=external. tld=all
269,https://www.gsa.gov/ft,https://www.gsa.gov/ftr,OK (200),env=external. tld=all. Redirected (HEAD) → https://www.gsa.gov/policy-regulations/regulations/federal-travel-regulation?gsaredirect=ftr
